car_name,brand,model,avg_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price_log,vehicle_age_log,km_driven_log,mileage_log,engine_log,max_power_log,seats_log,selling_price_log
Maruti Alto,Maruti,Alto,4.112027,9,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5,1.2,1.6315960316686866,2.302585092994046,11.695255355062795,3.0301337371283013,6.680854678790215,3.856510279368089,1.791759469228055,0.7884573820386862
Hyundai Grand,Hyundai,Grand,7.295,5,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5,5.5,2.11565293283999,1.791759469228055,9.90353755128617,2.9907197125611136,7.088408778675395,4.418840607796598,1.791759469228055,1.8718021769015913
Hyundai i20,Hyundai,i20,10.810042,11,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5,2.15,2.4689502187961105,2.4849066497880004,11.002116507732017,2.8903717578961645,7.088408778675395,4.394449154672439,1.791759469228055,1.1474024831129164
Maruti Alto,Maruti,Alto,4.112027,9,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5,2.26,1.6315960316686866,2.302585092994046,10.518700218288165,3.087399465560378,6.906754778648554,4.2209771907490214,1.791759469228055,1.1817271924532349
Ford Ecosport,Ford,Ecosport,11.965,6,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5,5.7,2.562253430759844,1.9459101490553132,10.308985993422082,3.168424300630145,7.312553498102598,4.601061721171689,1.791759469228055,1.90210749792903
Maruti Wagon R,Maruti,Wagon R,6.05,8,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5,3.5,1.9530276438787675,2.1972245773362196,10.463131911491967,2.9907197125611136,6.906754778648554,4.2209771907490214,1.791759469228055,1.5040773967762742
Hyundai i10,Hyundai,i10,6.585,8,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5,3.15,2.02617261782976,2.1972245773362196,10.596659732783579,3.0615200426665052,7.088408778675395,4.380775871869587,1.791759469228055,1.4231083572227108
Maruti Wagon R,Maruti,Wagon R,6.135,3,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5,4.1,1.965012283007543,1.3862943611198906,9.770698741272664,3.0685179539203564,6.906754778648554,4.2200957809833834,1.791759469228055,1.6292405210307834
Hyundai Venue,Hyundai,Venue,10.36,2,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5,10.5,2.4300983830709315,1.0986122886681098,9.90353755128617,2.952302695706565,6.906754778648554,4.78206033999993,1.791759469228055,2.4423470353692043
Maruti Swift,Maruti,Swift,7.81,4,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5,5.11,2.175887433453144,1.6094379124341003,10.251394166783005,2.867898923718522,7.088408778675395,4.454347296253507,1.791759469228055,1.8099267950352884
Hyundai Verna,Hyundai,Verna,15.69,8,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5,4.25,2.81480971253194,2.1972245773362196,11.086425670893206,3.1493113483958517,7.367077059881012,4.846703600016973,1.791759469228055,1.6582280766035324
Renault Duster,Renault,Duster,14.168889,5,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5,7.5,2.719246557040977,1.791759469228055,10.819798284210286,3.0272309110420648,7.2875606403097235,4.695467796086206,1.791759469228055,2.1400661634962708
Maruti Ciaz,Maruti,Ciaz,11.595719,5,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5,6.5,2.5333570211124274,1.791759469228055,11.23850177707664,3.370394477752483,7.130098510125578,4.4942386252808095,1.791759469228055,2.0149030205422647
Maruti Swift,Maruti,Swift,7.7467155,5,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5,6.27,2.1686782636910547,1.791759469228055,9.90353755128617,3.2657594398868772,7.130098510125578,4.31748811353631,1.791759469228055,1.9837562889218399
Maruti Swift,Maruti,Swift,7.7467155,7,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5,4.25,2.1686782636910547,2.0794415416798357,11.038126355768453,3.380994661369475,7.130098510125578,4.31748811353631,1.791759469228055,1.6582280766035324
Toyota Innova,Toyota,Innova,24.86143,8,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8,6.05,3.252752639197715,2.1972245773362196,11.608244735642321,2.638342772317001,7.822044008185619,4.621043520125888,2.1972245773362196,1.9530276438787675
Maruti Baleno,Maruti,Baleno,8.675,6,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5,6.0,2.269545258630043,1.9459101490553132,9.90353755128617,3.1090609418310957,7.088408778675395,4.432006548835277,1.791759469228055,1.9459101490553132
Maruti SwiftDzire,Maruti,SwiftDzire,8.69,5,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5,5.75,2.271094382598577,1.791759469228055,10.596659732783579,3.084200939000168,7.088408778675395,4.4324820709083745,1.791759469228055,1.9095425048844386
Volkswagen Vento,Volkswagen,Vento,13.1,8,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5,4.25,2.6461748244387127,2.1972245773362196,10.757924157061597,2.8384935060559893,7.377133712833954,4.646312100031763,1.791759469228055,1.6582280766035324
Maruti Alto,Maruti,Alto,4.112027,8,25000.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5,2.3,1.6315960316686866,2.1972245773362196,10.12667110305036,3.087399465560378,6.906754778648554,4.2209771907490214,1.791759469228055,1.1939224540228235
Hyundai Creta,Hyundai,Creta,14.625,2,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5,12.25,2.7488721956224653,1.0986122886681098,9.61587214452889,3.028683377384724,7.367077059881012,4.845760626914215,1.791759469228055,2.583997552432231
Honda City,Honda,City,14.465,6,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5,7.5,2.7385794160036925,1.9459101490553132,10.819798284210286,2.9123506438828892,7.311886164077165,4.77322379678111,1.791759469228055,2.1400661634962708
Mahindra Bolero,Mahindra,Bolero,9.87,10,25000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7,3.5,2.3860066906049746,2.3978952727983707,10.12667110305036,2.6810215548423537,7.8336002236611035,4.1588830833596715,2.0794415416798357,1.5040773967762742
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,6,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5,6.0,2.2331784796930116,1.9459101490553132,11.407576060361786,3.3174533937597452,7.130098510125578,4.31748811353631,1.791759469228055,1.9459101490553132
