car_name,brand,model,avg_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Alto,Maruti,Alto,4.112027,9,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,1.2
Hyundai Grand,Hyundai,Grand,7.295,5,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,5.5
Hyundai i20,Hyundai,i20,10.810042,11,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5.0,2.15
Maruti Alto,Maruti,Alto,4.112027,9,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.26
Ford Ecosport,Ford,Ecosport,11.965,6,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.7
Maruti Wagon R,Maruti,Wagon R,6.05,8,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,3.5
Hyundai i10,Hyundai,i10,6.585,8,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,3.15
Maruti Wagon R,Maruti,Wagon R,6.135,3,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,4.1
Hyundai Venue,Hyundai,Venue,10.36,2,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5.0,10.5
Maruti Swift,Maruti,Swift,7.81,4,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5.0,5.11
Hyundai Verna,Hyundai,Verna,15.69,8,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,4.25
Renault Duster,Renault,Duster,14.168889,5,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5.0,7.5
Maruti Ciaz,Maruti,Ciaz,11.595719,5,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,6.5
Maruti Swift,Maruti,Swift,7.7467155,5,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5.0,6.27
Maruti Swift,Maruti,Swift,7.7467155,7,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.25
Toyota Innova,Toyota,Innova,24.86143,8,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,6.05
Maruti Baleno,Maruti,Baleno,8.675,6,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.69,5,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,5.75
Volkswagen Vento,Volkswagen,Vento,13.1,8,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,4.25
Maruti Alto,Maruti,Alto,4.112027,8,25000.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5.0,2.3
Hyundai Creta,Hyundai,Creta,14.625,2,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5.0,12.25
Honda City,Honda,City,14.465,6,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5
Mahindra Bolero,Mahindra,Bolero,9.87,10,25000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,3.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,6,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,6.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,3.9
Honda City,Honda,City,14.74,14,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5.0,1.45
Hyundai i20,Hyundai,i20,10.810042,3,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,7.0
Renault KWID,Renault,KWID,5.05,4,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.4
Honda Amaze,Honda,Amaze,8.47,5,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,4.65
Hyundai Santro,Hyundai,Santro,6.39939,12,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.25
Mahindra XUV500,Mahindra,XUV500,19.975,9,185000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,6.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,3.8
Hyundai i20,Hyundai,i20,10.810042,3,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,8.5
Hyundai i20,Hyundai,i20,10.145,3,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.98
Honda City,Honda,City,14.74,6,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5.0,7.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,7,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,4.1
Maruti Baleno,Maruti,Baleno,8.55,5,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,5.9
Mahindra Bolero,Mahindra,Bolero,9.7,1,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7.0,8.5
Mahindra KUV100,Mahindra,KUV100,7.815,3,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5.0,5.5
Maruti Baleno,Maruti,Baleno,8.675,5,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5.0,6.25
Maruti SwiftDzire,Maruti,SwiftDzire,8.69,5,54000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,6.0
Maruti Wagon R,Maruti,Wagon R,5.95,2,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,4.45
Maruti Ignis,Maruti,Ignis,7.165,2,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5.0,5.3
Maruti Wagon R,Maruti,Wagon R,6.005,3,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5.0,4.1
Datsun RediGO,Datsun,RediGO,4.395,3,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5.0,3.5
Hyundai Verna,Hyundai,Verna,15.465,7,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,5.2
Hyundai i20,Hyundai,i20,11.21,5,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,7.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,4,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.6
Hyundai i20,Hyundai,i20,10.72,2,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,6.55
Hyundai Santro,Hyundai,Santro,6.39939,14,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5.0,1.25
Hyundai i20,Hyundai,i20,10.475,3,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5
Mahindra Scorpio,Mahindra,Scorpio,17.51,4,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,11.5
Volkswagen Vento,Volkswagen,Vento,13.294659,9,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,5.0
Mahindra Marazzo,Mahindra,Marazzo,15.16,2,36000.0,Individual,Diesel,Manual,17.3,1497.0,121.0,7.0,9.9
Hyundai Verna,Hyundai,Verna,15.455,8,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5.0,5.51
Mahindra XUV500,Mahindra,XUV500,19.91,3,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7.0,16.5
Hyundai Grand,Hyundai,Grand,7.071195,6,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,3.5
Ford Aspire,Ford,Aspire,7.775,4,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.555,3,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.75
Hyundai Grand,Hyundai,Grand,7.071195,3,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5.0,5.45
Ford Figo,Ford,Figo,6.965,4,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.25
Honda Amaze,Honda,Amaze,8.435,7,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5.0,4.0
Maruti Wagon R,Maruti,Wagon R,6.05,15,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5.0,1.55
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,5,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,5.45
Honda City,Honda,City,15.29,8,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45
Renault KWID,Renault,KWID,4.855,5,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,2.4
